Object_ID,De-la-Faille_cat-no,type-of-literature,type-of-literature_URI,year_begin,year_end,title,ISBN,author(s),author_URI,in-exhibition-catalog,in-exhibition-catalog_ISBN,in-journal,in-journal_ISSN,in-series,in-series_ISSN,in-volume,publication-place,publication-place_URI,publisher,publisher_URI,pagination-statement
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1928,1928,"L'Oeuvre de Vincent Van Gogh, catalogue raisonné",,"Faille, J.-B. de la.",,,,,,,,,Paris and Brussels,,,,1:no. 788; 2:repro.
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Monograph,http://vocab.getty.edu/aat/300060417,1939,1939,Vincent Van Gogh,,"Faille, J.-B. de la.",,,,,,,,,New York and Paris,,,,"531, no. 788, repro."
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Collection Catalogue,http://vocab.getty.edu/aat/300417819,1965,1965,Eighteenth and Nineteenth Century Paintings & Sculpture of the French School in the Chester Dale Collection,,,,,,,,,,,"National Gallery of Art, Washington",,,,"129, repro."
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1970,1970,The Works of Vincent van Gogh: Paintings and Drawings,,"Faille, J.-B. de la",,,,,,,,,Amsterdam,,,,"no. F788, repro."
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Catalogue Raisonné,http://vocab.getty.edu/aat/300026061,1980,1980,"The Complete Van Gogh: Paintings, drawings, sketches",,"Hulsker, Jan",,,,,,,,,New York,,,,"472, no. 2055, repro."
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Collection Catalogue,http://vocab.getty.edu/aat/300417819,1985,1985,European Paintings: An Illustrated Catalogue,,National Gallery of Art,,,,,,,,,Washington,,,,"179, repro."
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Monograph,http://vocab.getty.edu/aat/300060417,1986,1986,Von Böcklin zu Cézanne: Die Rezeption des franszösischen Impressionismus in der deutschen Schweiz,,"Gloor, Lukas",,,,,,,,,Bern,,,,"135, 281n."
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Monograph,http://vocab.getty.edu/aat/300060417,1989,1989,Van Gogh,,"Wheldon, Keith",,,,,,,,,London,,,,repro.
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Essay,http://vocab.getty.edu/aat/300026291,1988,1988,"Vincent van Gogh & Paul Cassirer, Berlin: The reception of Van Gogh in Germany from 1901 to 1914",,"Feilchenfeldt, Walter",,,,,,,,,Amsterdam,,,,"120, repro."
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Monograph,http://vocab.getty.edu/aat/300060417,1993,1993,"Kunst, kennis en commercie: de kunsthandelaar J.H. de Bois (1878-1946)",,"Heijbroek, Jan Frederik and E.L. Wouthuysen",,,,,,,,,Amsterdam,,,,"201, repro."
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Monograph,http://vocab.getty.edu/aat/300060417,1994,1994,Vincent van Gogh: Sämtliche Gemälde,,"Walther, Ingo F., and Rainer Metzger",,,,,,,,,Cologne,,,,2: 675.
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,Monograph,http://vocab.getty.edu/aat/300060417,1999,1999,Van Gogh: Provence and Auvers,,"Welsh-Ovcharov, Bogomila.",,,,,,,,,New York,,,,"281-283, repro. 279"
