Object_ID,De-la-Faille_cat-no,type-of-activity,type-of-activity_URI,activity-start-date,activity-end-date,transferred-to,transferred-to_URI,activity-note
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,,,1891,1908,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,,,1908,1908,J. H. de Bois,,
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,,,1908,1917,Richard Kisling,,
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,,,1917,1929,Mme Hedwig Glatt-Kisling,,
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,,,1929,1951,Gallery Max G. Bollag,,
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,,,1951,1963,Chester Dale,http://vocab.getty.edu/ulan/500316446,
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,,,1963,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,,,A. Mak,http://vocab.getty.edu/ulan/500452041,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,,,"Alex Reid & Lefèvre, Ltd",http://vocab.getty.edu/ulan/500434176,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,,,Mme Jules Armand,,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,,1927,Etienne Bignou,http://vocab.getty.edu/ulan/500434173,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,,1927,Hodebert,,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,1927,1927,Kraushaar Galleries,http://vocab.getty.edu/ulan/500435669,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,1927,1963,Chester Dale,http://vocab.getty.edu/ulan/500316446,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,1963,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,,,Jos Hessel,http://vocab.getty.edu/ulan/500439446,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,,,Galerie Georges Bernheim,http://vocab.getty.edu/ulan/500436696,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,,,Carl Sternheim,,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,,,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,,,Paul Rosenberg,,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,,,J. H. de Bois,,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,1917,1918,Alphonse Kann,http://vocab.getty.edu/ulan/500440138,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,1918,1918,J.B. Stang,,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,1918,1929,"Alex Reid & Lefèvre, Ltd",http://vocab.getty.edu/ulan/500434176,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,1918,1929,M. Knoedler & Company,http://vocab.getty.edu/ulan/500304270,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,1928,1928,Dr. Alfred Gold,http://vocab.getty.edu/ulan/500510715,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,1929,1929,Etienne Bignou,http://vocab.getty.edu/ulan/500434173,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,1929,1963,Chester Dale,http://vocab.getty.edu/ulan/500316446,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,1963,,National Gallery of Art,http://vocab.getty.edu/ulan/500115983,
1ed65ab6-f692-4020-8c65-501ea3a0b315,F656,,,,,Mme Johanna van Gogh-Bonger,http://vocab.getty.edu/ulan/500073337,
1ed65ab6-f692-4020-8c65-501ea3a0b315,F656,,,1912,1916,Julius Stern,,
