Object_ID,De-la-Faille_cat-no,type-of-research,type-of-research_URI,type-of-documentation,type-of-documentation_URI,start_date,end_date,title,creator,creator_URI,Digital_image_IIIF
c9a53bed-48f1-43ea-9722-ee568ecbb1bd,F788,,,,,,,,,,
af9afacf-ba8b-4c01-a13a-c2bf7fa32af6,F440,,,,,,,,,,
5e6e1180-e3fb-43bb-86d3-87197a53f0aa,F431,,,,,,,,,,
1ed65ab6-f692-4020-8c65-501ea3a0b315,F656,,,,,,,,,,
09ee5f64-e26e-4e0f-8de5-00f40e9c7c60,F523,,,,,,,,,,
94f929f2-7e89-4f9e-aaea-c184691e5111,F442,,,,,,,,,,
a1ad50b0-6e00-4878-8a7c-ef1786b3a020,F565,,,,,,,,,,
80815d48-b45c-4ec9-8179-1b0da4d5ff12,F186,,,,,,,,,,
fac7f655-8caf-4a7b-b94f-48bd446fc022,F681,,,,,,,,,,
e280cdc5-635a-4ad5-a80b-839de76596d5,F626,,,,,,,,,,
d4f6fe8c-593c-4b18-9f13-d546d8ba588c,F807,,,,,,,,,,
a4dbc472-e34e-4173-a4a7-67cba1890327,F502,,,,,,,,,,
